Gemeinde;Straﬂenschl¸ssel;Straﬂenname;Hausnummer;BP Position (ETRS89_UTM32 (mm));BP Kennzeichen (ETRS89_UTM32 (mm))
Stadt Flensburg;00425;Mads-Clausen-Straﬂe;;527114863.000,6074251134.000 ;527117270.000,6074248050.000 
Stadt Flensburg;00425;Mads-Clausen-Straﬂe;;527112338.000,6074211505.000 ;527104519.000,6074211812.000 
Stadt Flensburg;00425;Mads-Clausen-Straﬂe;;527107703.000,6074120851.000 ;527110202.000,6074123350.000 
Stadt Flensburg;00425;Mads-Clausen-Straﬂe;;527117060.000,6074119257.000 ;527115210.000,6074120601.000 
Stadt Flensburg;00425;Mads-Clausen-Straﬂe;;527110686.000,6074181294.000 ;527113391.000,6074178257.000 
Stadt Flensburg;00425;Mads-Clausen-Straﬂe;;527108826.000,6074145087.000 ;527111694.000,6074142221.000 
Stadt Flensburg;00615;Trollseeweg;;527424714.000,6073401979.000 ;527426696.000,6073402147.000 
Stadt Flensburg;00615;Trollseeweg;;527434492.000,6073370853.000 ;527429110.000,6073371982.000 
Stadt Flensburg;00615;Trollseeweg;;527445747.000,6073337191.000 ;527441860.000,6073334817.000 
Stadt Flensburg;00615;Trollseeweg;;527456585.000,6073304685.000 ;527451301.000,6073305987.000 
Stadt Flensburg;00615;Trollseeweg;;527465337.000,6073279149.000 ;527460187.000,6073280583.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527540811.000,6073502729.000 ;527539896.000,6073504051.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527570558.000,6073507101.000 ;527573057.000,6073509600.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527539459.000,6073491630.000 ;527541958.000,6073494129.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527615995.000,6073509447.000 ;527621736.000,6073508545.000 
Stadt Flensburg;00615;Trollseeweg;;527521124.000,6073415978.000 ;527523623.000,6073418477.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527596906.000,6073323051.000 ;527599405.000,6073325550.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527585169.000,6073349660.000 ;527587668.000,6073352159.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527564596.000,6073372048.000 ;527567095.000,6073374547.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527666300.000,6073410942.000 ;527668662.000,6073411139.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527633274.000,6073476869.000 ;527636012.000,6073478368.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527651991.000,6073439505.000 ;527654215.000,6073440138.000 
Stadt Flensburg;00574;Steinstraﬂe;;527416706.000,6073194417.000 ;527411596.000,6073195956.000 
Stadt Flensburg;00574;Steinstraﬂe;;527386425.000,6073186904.000 ;527386429.000,6073188365.000 
Stadt Flensburg;00574;Steinstraﬂe;;527322854.000,6073172746.000 ;527320076.000,6073173453.000 
Stadt Flensburg;00574;Steinstraﬂe;6;527287255.000,6073165824.000 ;527284474.000,6073166751.000 
Stadt Flensburg;00574;Steinstraﬂe;2;527256336.000,6073158833.000 ;527261565.000,6073160106.000 
Stadt Flensburg;00439;Nikolaiallee;;526947885.000,6069399118.000 ;526940600.000,6069399547.000 
Stadt Flensburg;00439;Nikolaiallee;;526932858.000,6069371428.000 ;526933701.000,6069371270.000 
Stadt Flensburg;00439;Nikolaiallee;;526965511.000,6069430766.000 ;526967016.000,6069428990.000 
Stadt Flensburg;00439;Nikolaiallee;;526997419.000,6069487954.000 ;526998325.000,6069486142.000 
Stadt Flensburg;00439;Nikolaiallee;;526981834.000,6069460020.000 ;526982679.000,6069458122.000 
Stadt Flensburg;00355;L‰ngs der Bahn;25;525572968.000,6067827693.000 ;525574783.000,6067824376.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;2;525611544.000,6067856742.000 ;525605069.000,6067855259.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;2;525597164.000,6067853507.000 ;525589963.000,6067854317.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525696166.000,6067940938.000 ;525689747.000,6067936067.000 
Stadt Flensburg;00456;Ochsenweg;3;525719255.000,6067946415.000 ;525716769.000,6067951374.000 
Stadt Flensburg;00456;Ochsenweg;36;525719455.000,6067938100.000 ;525720960.000,6067936353.000 
Stadt Flensburg;00068;Batteriestraﬂe;48;527602964.000,6073139595.000 ;527600983.000,6073137954.000 
Stadt Flensburg;00275;Igelhof;;527074139.000,6067726078.000 ;527069034.000,6067727561.000 
Stadt Flensburg;00243;Hasenhof;12;527004407.000,6067725897.000 ;526997899.000,6067726091.000 
Stadt Flensburg;00243;Hasenhof;;527005726.000,6067681685.000 ;526998794.000,6067680976.000 
Stadt Flensburg;00243;Hasenhof;;527032088.000,6067635102.000 ;527031994.000,6067631320.000 
Stadt Flensburg;00243;Hasenhof;;527060474.000,6067634885.000 ;527056477.000,6067632689.000 
Stadt Flensburg;00243;Hasenhof;;527087985.000,6067633242.000 ;527088234.000,6067629418.000 
Stadt Flensburg;00691;Wieselhof;;526955356.000,6067553757.000 ;526948989.000,6067555303.000 
Stadt Flensburg;00691;Wieselhof;;526983216.000,6067555253.000 ;526984562.000,6067553402.000 
Stadt Flensburg;00691;Wieselhof;;526930612.000,6067595630.000 ;526923119.000,6067596365.000 
Stadt Flensburg;00439;Nikolaiallee;Nov 13;526895565.000,6069311078.000 ;526889695.000,6069312115.000 
Stadt Flensburg;00439;Nikolaiallee;9;526920241.000,6069327818.000 ;526914042.000,6069328443.000 
Stadt Flensburg;00439;Nikolaiallee;;526859334.000,6069297400.000 ;526853222.000,6069295656.000 
Stadt Flensburg;00439;Nikolaiallee;;526831815.000,6069283971.000 ;526824148.000,6069283001.000 
Stadt Flensburg;00439;Nikolaiallee;;526799354.000,6069267322.000 ;526792611.000,6069266146.000 
Stadt Flensburg;00439;Nikolaiallee;;526767711.000,6069249383.000 ;526767654.000,6069244802.000 
Stadt Flensburg;00439;Nikolaiallee;;526737012.000,6069231054.000 ;526733480.000,6069232768.000 
Stadt Flensburg;00439;Nikolaiallee;;526707289.000,6069213134.000 ;526708496.000,6069208939.000 
Stadt Flensburg;00439;Nikolaiallee;;526677279.000,6069193832.000 ;526677129.000,6069189876.000 
Stadt Flensburg;00540;Sch‰ferweg;;525042520.000,6069907580.000 ;525042097.000,6069904754.000 
Stadt Flensburg;00540;Sch‰ferweg;;525009985.000,6069912999.000 ;525006954.000,6069910622.000 
Stadt Flensburg;00540;Sch‰ferweg;;524976971.000,6069918498.000 ;524974313.000,6069916109.000 
Stadt Flensburg;00540;Sch‰ferweg;;524944027.000,6069923985.000 ;524942918.000,6069921125.000 
Stadt Flensburg;00540;Sch‰ferweg;;525075313.000,6069902119.000 ;525069264.000,6069899846.000 
Stadt Flensburg;00540;Sch‰ferweg;;525105595.000,6069893309.000 ;525100357.000,6069891343.000 
Stadt Flensburg;00540;Sch‰ferweg;;525130382.000,6069872653.000 ;525124347.000,6069870329.000 
Stadt Flensburg;00540;Sch‰ferweg;;525146784.000,6069844280.000 ;525137946.000,6069846976.000 
Stadt Flensburg;00540;Sch‰ferweg;;525159086.000,6069821213.000 ;525153391.000,6069818731.000 
Stadt Flensburg;00540;Sch‰ferweg;;525171259.000,6069798326.000 ;525172340.000,6069800149.000 
Stadt Flensburg;00540;Sch‰ferweg;;525188148.000,6069766273.000 ;525181968.000,6069764611.000 
Stadt Flensburg;00540;Sch‰ferweg;;525204022.000,6069736452.000 ;525197168.000,6069734517.000 
Stadt Flensburg;00540;Sch‰ferweg;;525219659.000,6069707570.000 ;525213219.000,6069706468.000 
Stadt Flensburg;00540;Sch‰ferweg;;525235878.000,6069677793.000 ;525228991.000,6069674216.000 
Stadt Flensburg;00540;Sch‰ferweg;;525250548.000,6069650849.000 ;525241695.000,6069654071.000 
Stadt Flensburg;00540;Sch‰ferweg;;525267487.000,6069619738.000 ;525260347.000,6069619347.000 
Stadt Flensburg;00540;Sch‰ferweg;;525282738.000,6069591624.000 ;525279078.000,6069588028.000 
Stadt Flensburg;00540;Sch‰ferweg;;525298292.000,6069562439.000 ;525291571.000,6069562869.000 
Stadt Flensburg;00540;Sch‰ferweg;;525306517.000,6069541932.000 ;525306648.000,6069539738.000 
Stadt Flensburg;00540;Sch‰ferweg;;525278913.000,6069524134.000 ;525283094.000,6069524671.000 
Stadt Flensburg;00540;Sch‰ferweg;;525334545.000,6069558150.000 ;525334363.000,6069555652.000 
Stadt Flensburg;00540;Sch‰ferweg;;525365881.000,6069574167.000 ;525360444.000,6069575925.000 
Stadt Flensburg;00540;Sch‰ferweg;;525397653.000,6069589716.000 ;525394280.000,6069586461.000 
Stadt Flensburg;00540;Sch‰ferweg;;525394621.000,6069636883.000 ;525387469.000,6069634327.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525386002.000,6069665871.000 ;525387880.000,6069666127.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525378421.000,6069697669.000 ;525379670.000,6069697415.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525372633.000,6069737407.000 ;525374796.000,6069737000.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525399962.000,6069717411.000 ;525402657.000,6069717298.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525405852.000,6069686875.000 ;525408371.000,6069686723.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525418464.000,6069658354.000 ;525420231.000,6069658317.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525425006.000,6069629561.000 ;525426608.000,6069629409.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525396434.000,6069750499.000 ;525398302.000,6069750173.000 
Stadt Flensburg;00540;Sch‰ferweg;;525414452.000,6069583401.000 ;525415809.000,6069586032.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525404403.000,6069823442.000 ;525405682.000,6069824537.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525373787.000,6069766017.000 ;525375832.000,6069765561.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525373599.000,6069792875.000 ;525374838.000,6069792254.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525373596.000,6069813561.000 ;525374733.000,6069813003.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525397853.000,6069778061.000 ;525399189.000,6069775418.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525384727.000,6069842145.000 ;525378390.000,6069841790.000 
Stadt Flensburg;00662;Westerallee;;525393335.000,6069875986.000 ;525393176.000,6069873346.000 
Stadt Flensburg;00662;Westerallee;;525387152.000,6069897358.000 ;525386755.000,6069900257.000 
Stadt Flensburg;00662;Westerallee;;525388068.000,6069928689.000 ;525388443.000,6069925783.000 
Stadt Flensburg;00662;Westerallee;;525380526.000,6070025437.000 ;525382519.000,6070024954.000 
Stadt Flensburg;00662;Westerallee;;525376084.000,6070058667.000 ;525365629.000,6070060371.000 
Stadt Flensburg;00662;Westerallee;;525412463.000,6069924190.000 ;525409957.000,6069921305.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;30;525397992.000,6069408301.000 ;525399419.000,6069405807.000 
Stadt Flensburg;00358;Langberger Weg;;525254104.000,6069507868.000 ;525255662.000,6069506501.000 
Stadt Flensburg;00358;Langberger Weg;;525222424.000,6069486183.000 ;525222255.000,6069483319.000 
Stadt Flensburg;00358;Langberger Weg;;525193238.000,6069465849.000 ;525195158.000,6069464150.000 
Stadt Flensburg;00358;Langberger Weg;;525161972.000,6069463478.000 ;525154730.000,6069463166.000 
Stadt Flensburg;00011;Alter Ochsenweg;;525120469.000,6069043971.000 ;525121970.000,6069043098.000 
Stadt Flensburg;00011;Alter Ochsenweg;;525174833.000,6068974311.000 ;525169301.000,6068971773.000 
Stadt Flensburg;00691;Wieselhof;;526928887.000,6067627771.000 ;526923067.000,6067625908.000 
Stadt Flensburg;00691;Wieselhof;;526927874.000,6067660887.000 ;526922167.000,6067658332.000 
Stadt Flensburg;00691;Wieselhof;;526928257.000,6067692375.000 ;526922418.000,6067689785.000 
Stadt Flensburg;00691;Wieselhof;;526926695.000,6067727095.000 ;526932012.000,6067721705.000 
Stadt Flensburg;00691;Wieselhof;;526919343.000,6067551839.000 ;526914192.000,6067553142.000 
Stadt Flensburg;00691;Wieselhof;;526918274.000,6067749608.000 ;526909718.000,6067749550.000 
Stadt Flensburg;00037;Am Sophienhof;;526539212.000,6067784679.000 ;526540561.000,6067786640.000 
Stadt Flensburg;00037;Am Sophienhof;;526566453.000,6067768664.000 ;526564276.000,6067765912.000 
Stadt Flensburg;00037;Am Sophienhof;;526584051.000,6067748490.000 ;526581081.000,6067745168.000 
Stadt Flensburg;00037;Am Sophienhof;;526607511.000,6067722779.000 ;526600851.000,6067721308.000 
Stadt Flensburg;00037;Am Sophienhof;;526642211.000,6067719765.000 ;526640357.000,6067716825.000 
Stadt Flensburg;00037;Am Sophienhof;;526667552.000,6067723458.000 ;526667551.000,6067719808.000 
Stadt Flensburg;00037;Am Sophienhof;;526698000.000,6067727774.000 ;526699301.000,6067723375.000 
Stadt Flensburg;00037;Am Sophienhof;;526731958.000,6067732599.000 ;526732659.000,6067730485.000 
Stadt Flensburg;00037;Am Sophienhof;;526764788.000,6067738227.000 ;526766586.000,6067736911.000 
Stadt Flensburg;00037;Am Sophienhof;;526829051.000,6067851563.000 ;526830095.000,6067850938.000 
Stadt Flensburg;00037;Am Sophienhof;;526814897.000,6067821420.000 ;526816343.000,6067821900.000 
