Gemeinde;Straﬂenschl¸ssel;Straﬂenname;Hausnummer;BP Position (ETRS89_UTM32 (mm));BP Kennzeichen (ETRS89_UTM32 (mm))
Stadt Flensburg;00037;Am Sophienhof;;526800813.000,6067790815.000 ;526801690.000,6067788462.000 
Stadt Flensburg;00037;Am Sophienhof;;526787413.000,6067762086.000 ;526787763.000,6067760137.000 
Stadt Flensburg;00243;Hasenhof;;526859673.000,6067881902.000 ;526861876.000,6067880620.000 
Stadt Flensburg;00243;Hasenhof;;526891046.000,6067871108.000 ;526885818.000,6067867678.000 
Stadt Flensburg;00037;Am Sophienhof;;526853696.000,6067910731.000 ;526845797.000,6067910473.000 
Stadt Flensburg;00037;Am Sophienhof;;526867742.000,6067940966.000 ;526859983.000,6067941137.000 
Stadt Flensburg;00439;Nikolaiallee;;526642156.000,6069171394.000 ;526643519.000,6069167985.000 
Stadt Flensburg;00439;Nikolaiallee;;526606129.000,6069148561.000 ;526607299.000,6069145601.000 
Stadt Flensburg;00439;Nikolaiallee;;526553332.000,6069115447.000 ;526555116.000,6069112058.000 
Stadt Flensburg;00439;Nikolaiallee;;526501892.000,6069080867.000 ;526502920.000,6069076982.000 
Stadt Flensburg;00439;Nikolaiallee;;526443512.000,6069042425.000 ;526443871.000,6069037853.000 
Stadt Flensburg;00468;Otto-Hahn-Straﬂe;;526696186.000,6067974836.000 ;526696552.000,6067977250.000 
Stadt Flensburg;00468;Otto-Hahn-Straﬂe;;526721107.000,6067973004.000 ;526717234.000,6067975559.000 
Stadt Flensburg;00468;Otto-Hahn-Straﬂe;;526746029.000,6067971174.000 ;526740740.000,6067973307.000 
Stadt Flensburg;00468;Otto-Hahn-Straﬂe;;526770951.000,6067969343.000 ;526767397.000,6067971658.000 
Stadt Flensburg;00468;Otto-Hahn-Straﬂe;;526795874.000,6067967507.000 ;526790920.000,6067970134.000 
Stadt Flensburg;00468;Otto-Hahn-Straﬂe;;526820780.000,6067965668.000 ;526819893.000,6067967970.000 
Stadt Flensburg;00468;Otto-Hahn-Straﬂe;;526843807.000,6067964353.000 ;526839236.000,6067961302.000 
Stadt Flensburg;00037;Am Sophienhof;;526878097.000,6067978264.000 ;526879310.000,6067977600.000 
Stadt Flensburg;00037;Am Sophienhof;;526881952.000,6068004675.000 ;526883200.000,6068003180.000 
Stadt Flensburg;00691;Wieselhof;;526932374.000,6067856710.000 ;526934676.000,6067855264.000 
Stadt Flensburg;00243;Hasenhof;;526924010.000,6067870195.000 ;526923327.000,6067866717.000 
Stadt Flensburg;00691;Wieselhof;;526890868.000,6067763468.000 ;526883490.000,6067764383.000 
Stadt Flensburg;00691;Wieselhof;;526905025.000,6067794457.000 ;526898260.000,6067794459.000 
Stadt Flensburg;00691;Wieselhof;;526919904.000,6067826127.000 ;526912916.000,6067827069.000 
Stadt Flensburg;00386;Marderhof;;527020867.000,6067827995.000 ;527017276.000,6067829640.000 
Stadt Flensburg;00243;Hasenhof;;527001806.000,6067816409.000 ;526995802.000,6067816029.000 
Stadt Flensburg;00243;Hasenhof;;527003127.000,6067771183.000 ;526997784.000,6067773150.000 
Stadt Flensburg;00386;Marderhof;;527066501.000,6067826448.000 ;527065514.000,6067828442.000 
Stadt Flensburg;00386;Marderhof;;527110017.000,6067817440.000 ;527102667.000,6067820874.000 
Stadt Flensburg;00386;Marderhof;;527154123.000,6067806040.000 ;527152620.000,6067808054.000 
Stadt Flensburg;00011;Alter Ochsenweg;;525144538.000,6069012019.000 ;525138550.000,6069008740.000 
Stadt Flensburg;00011;Alter Ochsenweg;;525201387.000,6068941273.000 ;525194918.000,6068940550.000 
Stadt Flensburg;00011;Alter Ochsenweg;;525229138.000,6068903569.000 ;525224777.000,6068900923.000 
Stadt Flensburg;00011;Alter Ochsenweg;;525254655.000,6068864513.000 ;525246435.000,6068869227.000 
Stadt Flensburg;00011;Alter Ochsenweg;;525283256.000,6068820895.000 ;525290095.000,6068821874.000 
Stadt Flensburg;00011;Alter Ochsenweg;;525310077.000,6068778719.000 ;525306202.000,6068776226.000 
Stadt Flensburg;00011;Alter Ochsenweg;;525336296.000,6068736179.000 ;525331566.000,6068733373.000 
Stadt Flensburg;00011;Alter Ochsenweg;;525361027.000,6068696054.000 ;525354573.000,6068695769.000 
Stadt Flensburg;00456;Ochsenweg;;525400998.000,6068701958.000 ;525394230.000,6068700974.000 
Stadt Flensburg;00456;Ochsenweg;;525414292.000,6068662670.000 ;525406218.000,6068662713.000 
Stadt Flensburg;00456;Ochsenweg;;525414698.000,6068645189.000 ;525412472.000,6068640381.000 
Stadt Flensburg;00089;Boreasm¸hle;;525444426.000,6069918852.000 ;525442293.000,6069916317.000 
Stadt Flensburg;00089;Boreasm¸hle;;525476971.000,6069913435.000 ;525474425.000,6069910320.000 
Stadt Flensburg;00089;Boreasm¸hle;;525517518.000,6069906685.000 ;525513576.000,6069904599.000 
Stadt Flensburg;00600;Thomas-Lorck-Weg;;525914113.000,6069920412.000 ;525911013.000,6069922655.000 
Stadt Flensburg;00600;Thomas-Lorck-Weg;;525878474.000,6069916969.000 ;525874503.000,6069919435.000 
Stadt Flensburg;00600;Thomas-Lorck-Weg;;525847200.000,6069913944.000 ;525846933.000,6069916506.000 
Stadt Flensburg;00181;Friedensweg;;525616119.000,6069646528.000 ;525617469.000,6069643315.000 
Stadt Flensburg;00358;Langberger Weg;;525627787.000,6069662788.000 ;525627778.000,6069660027.000 
Stadt Flensburg;00358;Langberger Weg;;525660027.000,6069669757.000 ;525661227.000,6069668003.000 
Stadt Flensburg;00174;Fˆrsterstieg;;525024926.000,6067797984.000 ;525018541.000,6067794148.000 
Stadt Flensburg;00174;Fˆrsterstieg;;525021347.000,6067841780.000 ;525013594.000,6067839901.000 
Stadt Flensburg;00174;Fˆrsterstieg;;525051566.000,6067883173.000 ;525055970.000,6067875012.000 
Stadt Flensburg;00174;Fˆrsterstieg;;525085417.000,6067895561.000 ;525089870.000,6067896594.000 
Stadt Flensburg;00174;Fˆrsterstieg;;525118484.000,6067911369.000 ;525120142.000,6067909078.000 
Stadt Flensburg;00174;Fˆrsterstieg;;525150026.000,6067973859.000 ;525152083.000,6067974052.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525000787.000,6067943503.000 ;524998036.000,6067941204.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525026864.000,6067970460.000 ;525027684.000,6067967941.000 
Stadt Flensburg;00009;Alter Husumer Weg;;524978956.000,6067915356.000 ;524976510.000,6067912439.000 
Stadt Flensburg;00009;Alter Husumer Weg;;524954391.000,6067889425.000 ;524952598.000,6067886702.000 
Stadt Flensburg;00009;Alter Husumer Weg;;524931238.000,6067861197.000 ;524932695.000,6067860824.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525057149.000,6067997977.000 ;525057720.000,6067995750.000 
Stadt Flensburg;00478;Pirschgang;;525032041.000,6067895594.000 ;525030168.000,6067891638.000 
Stadt Flensburg;00264;Holzkrugweg;31;525013339.000,6067770315.000 ;525008012.000,6067767067.000 
Stadt Flensburg;00264;Holzkrugweg;35;524977541.000,6067763335.000 ;524983110.000,6067763219.000 
Stadt Flensburg;00264;Holzkrugweg;27;525045644.000,6067776722.000 ;525046519.000,6067774198.000 
Stadt Flensburg;00175;Forstweg;;525081008.000,6067775296.000 ;525082256.000,6067775015.000 
Stadt Flensburg;00264;Holzkrugweg;;525113799.000,6067787956.000 ;525114129.000,6067784727.000 
Stadt Flensburg;00264;Holzkrugweg;;525147556.000,6067799651.000 ;525144450.000,6067796613.000 
Stadt Flensburg;00175;Forstweg;1;525088060.000,6067740882.000 ;525080860.000,6067740763.000 
Stadt Flensburg;00175;Forstweg;;525094954.000,6067707199.000 ;525094789.000,6067709201.000 
Stadt Flensburg;00175;Forstweg;;525101589.000,6067674779.000 ;525102689.000,6067673417.000 
Stadt Flensburg;00359;Lange Reihe;13;525121034.000,6067669181.000 ;525120842.000,6067671790.000 
Stadt Flensburg;00359;Lange Reihe;11;525153797.000,6067675862.000 ;525149510.000,6067677666.000 
Stadt Flensburg;00264;Holzkrugweg;39;524940309.000,6067755440.000 ;524939045.000,6067752952.000 
Stadt Flensburg;00355;L‰ngs der Bahn;;525266649.000,6067521924.000 ;525260402.000,6067524259.000 
Stadt Flensburg;00152;Eschenweg;7;525292615.000,6067514860.000 ;525296151.000,6067513899.000 
Stadt Flensburg;00152;Eschenweg;;525315936.000,6067516622.000 ;525317185.000,6067519093.000 
Stadt Flensburg;00152;Eschenweg;10;525348391.000,6067516157.000 ;525343032.000,6067513902.000 
Stadt Flensburg;00152;Eschenweg;;525378924.000,6067515491.000 ;525380387.000,6067517353.000 
Stadt Flensburg;00152;Eschenweg;;525404168.000,6067514938.000 ;525403501.000,6067516628.000 
Stadt Flensburg;00355;L‰ngs der Bahn;;525317198.000,6067552887.000 ;525308784.000,6067552514.000 
Stadt Flensburg;00355;L‰ngs der Bahn;;525339677.000,6067577030.000 ;525343510.000,6067575834.000 
Stadt Flensburg;00355;L‰ngs der Bahn;;525362157.000,6067601174.000 ;525355528.000,6067601234.000 
Stadt Flensburg;00355;L‰ngs der Bahn;;525384453.000,6067625468.000 ;525378369.000,6067625851.000 
Stadt Flensburg;00359;Lange Reihe;3;525223574.000,6067690114.000 ;525221105.000,6067692545.000 
Stadt Flensburg;00359;Lange Reihe;7;525188692.000,6067682983.000 ;525186110.000,6067684950.000 
Stadt Flensburg;00246;Heideweg;;525242672.000,6067707294.000 ;525246584.000,6067707658.000 
Stadt Flensburg;00246;Heideweg;8;525235474.000,6067742553.000 ;525239855.000,6067744032.000 
Stadt Flensburg;00264;Holzkrugweg;;525451103.000,6067899137.000 ;525435874.000,6067897317.000 
Stadt Flensburg;00264;Holzkrugweg;;525479859.000,6067920043.000 ;525471753.000,6067909269.000 
Stadt Flensburg;00264;Holzkrugweg;;525502747.000,6067942435.000 ;525497370.000,6067928443.000 
Stadt Flensburg;00264;Holzkrugweg;;525527973.000,6067966837.000 ;525524353.000,6067958191.000 
Stadt Flensburg;00264;Holzkrugweg;;525545825.000,6067995571.000 ;525535363.000,6067981470.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525643079.000,6067909062.000 ;525636915.000,6067908917.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525619455.000,6067887199.000 ;525613226.000,6067887017.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;4A;525550559.000,6067772044.000 ;525543442.000,6067771474.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525600898.000,6067782096.000 ;525601226.000,6067780381.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525626096.000,6067798721.000 ;525625765.000,6067796738.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525620427.000,6067826261.000 ;525623535.000,6067825527.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525350070.000,6068274158.000 ;525350394.000,6068271896.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525378426.000,6068302232.000 ;525366209.000,6068302258.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525400193.000,6068328446.000 ;525389670.000,6068328678.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525426424.000,6068359736.000 ;525410964.000,6068355750.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525150319.000,6068085216.000 ;525144223.000,6068080635.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525121766.000,6068058768.000 ;525111422.000,6068061089.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525088418.000,6068027168.000 ;525086661.000,6068024350.000 
Stadt Flensburg;00174;Fˆrsterstieg;;525140688.000,6068017365.000 ;525142107.000,6068018114.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525180356.000,6068113205.000 ;525177451.000,6068109966.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525235338.000,6068166514.000 ;525236816.000,6068165694.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525264063.000,6068191634.000 ;525254951.000,6068195538.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525318225.000,6068244164.000 ;525319610.000,6068242805.000 
Stadt Flensburg;00273;Hirschbogen;;525321954.000,6068171140.000 ;525324465.000,6068168101.000 
Stadt Flensburg;00273;Hirschbogen;15;525334325.000,6068142074.000 ;525335047.000,6068143817.000 
Stadt Flensburg;00273;Hirschbogen;21/23;525347242.000,6068111721.000 ;525348333.000,6068110830.000 
Stadt Flensburg;00273;Hirschbogen;27/29;525360440.000,6068080711.000 ;525362057.000,6068080002.000 
Stadt Flensburg;00439;Nikolaiallee;;526379696.000,6069008164.000 ;526379151.000,6069003377.000 
Stadt Flensburg;00439;Nikolaiallee;;526331793.000,6068982206.000 ;526334147.000,6068977887.000 
Stadt Flensburg;00439;Nikolaiallee;;526288630.000,6068958778.000 ;526283240.000,6068960485.000 
Stadt Flensburg;00439;Nikolaiallee;;526238181.000,6068930428.000 ;526235475.000,6068932190.000 
Stadt Flensburg;00439;Nikolaiallee;;526186336.000,6068901519.000 ;526187761.000,6068897600.000 
Stadt Flensburg;00439;Nikolaiallee;;526144438.000,6068878775.000 ;526144805.000,6068880875.000 
Stadt Flensburg;00439;Nikolaiallee;;526050506.000,6068826927.000 ;526048080.000,6068828372.000 
Stadt Flensburg;00439;Nikolaiallee;;525996882.000,6068796952.000 ;525997187.000,6068791883.000 
Stadt Flensburg;00439;Nikolaiallee;;525950306.000,6068771932.000 ;525949038.000,6068773275.000 
Stadt Flensburg;00063;Bahnstraﬂe;;525754598.000,6067952518.000 ;525749771.000,6067955797.000 
Stadt Flensburg;00063;Bahnstraﬂe;;525785512.000,6067971305.000 ;525785339.000,6067968649.000 
Stadt Flensburg;00063;Bahnstraﬂe;;525819663.000,6067991836.000 ;525818963.000,6067988957.000 
Stadt Flensburg;00063;Bahnstraﬂe;;525845915.000,6068008555.000 ;525846373.000,6068005621.000 
Stadt Flensburg;00456;Ochsenweg;37;525683146.000,6067949029.000 ;525676624.000,6067949993.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525674521.000,6067939634.000 ;525667831.000,6067939450.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525674734.000,6067925914.000 ;525668301.000,6067923958.000 
Stadt Flensburg;00456;Ochsenweg;;525688372.000,6067990968.000 ;525689381.000,6067991324.000 
Stadt Flensburg;00456;Ochsenweg;;525705058.000,6067960744.000 ;525707303.000,6067961745.000 
Stadt Flensburg;00456;Ochsenweg;;525678378.000,6068009287.000 ;525678814.000,6068010663.000 
Stadt Flensburg;00456;Ochsenweg;;525736467.000,6067908323.000 ;525729914.000,6067905917.000 
Stadt Flensburg;00456;Ochsenweg;;525752937.000,6067883073.000 ;525746762.000,6067882225.000 
Stadt Flensburg;00537;Sylter Straﬂe;;525790837.000,6067846949.000 ;525789517.000,6067852344.000 
Stadt Flensburg;00537;Sylter Straﬂe;;525827097.000,6067873906.000 ;525822472.000,6067870379.000 
Stadt Flensburg;00537;Sylter Straﬂe;;525898585.000,6067927563.000 ;525898016.000,6067924501.000 
Stadt Flensburg;00456;Ochsenweg;28;525808974.000,6067809327.000 ;525802268.000,6067807674.000 
Stadt Flensburg;00456;Ochsenweg;28;525827404.000,6067781967.000 ;525820951.000,6067780479.000 
Stadt Flensburg;00537;Sylter Straﬂe;26;525991063.000,6067997857.000 ;525983929.000,6067998595.000 
Stadt Flensburg;00537;Sylter Straﬂe;18;525961758.000,6067976478.000 ;525953841.000,6067977981.000 
Stadt Flensburg;00537;Sylter Straﬂe;26;525933959.000,6067955403.000 ;525935238.000,6067953990.000 
Stadt Flensburg;00319;Keitumer Weg;12;526017093.000,6067973124.000 ;526016563.000,6067976427.000 
Stadt Flensburg;00319;Keitumer Weg;26;526038082.000,6067945919.000 ;526037629.000,6067948394.000 
Stadt Flensburg;00319;Keitumer Weg;40;526065736.000,6067914149.000 ;526060437.000,6067915562.000 
Stadt Flensburg;00319;Keitumer Weg;40;526077942.000,6067899385.000 ;526071853.000,6067897564.000 
Stadt Flensburg;00326;Kirchenallee;;525947619.000,6067869309.000 ;525947738.000,6067870617.000 
Stadt Flensburg;00326;Kirchenallee;;525929052.000,6067896575.000 ;525930139.000,6067897098.000 
Stadt Flensburg;00326;Kirchenallee;;525969831.000,6067835924.000 ;525969129.000,6067837232.000 
Stadt Flensburg;00267;Husumer Straﬂe;;526104030.000,6067882238.000 ;526106499.000,6067883498.000 
Stadt Flensburg;00267;Husumer Straﬂe;;526060012.000,6067829963.000 ;526052592.000,6067830094.000 
Stadt Flensburg;00267;Husumer Straﬂe;;526030610.000,6067794801.000 ;526024885.000,6067798115.000 
Stadt Flensburg;00267;Husumer Straﬂe;;526131108.000,6067917339.000 ;526124557.000,6067918410.000 
Stadt Flensburg;00267;Husumer Straﬂe;;526164630.000,6067956858.000 ;526157867.000,6067956986.000 
Stadt Flensburg;00124;An der Friedenskirche;;526148493.000,6067812865.000 ;526146935.000,6067811626.000 
Stadt Flensburg;00124;An der Friedenskirche;;526157545.000,6067844899.000 ;526159358.000,6067842208.000 
Stadt Flensburg;00124;An der Friedenskirche;;526166585.000,6067876344.000 ;526168161.000,6067872663.000 
Stadt Flensburg;00124;An der Friedenskirche;;526139374.000,6067781161.000 ;526137439.000,6067774591.000 
Stadt Flensburg;00272;Holunderweg;;525694421.000,6067523736.000 ;525696174.000,6067522553.000 
Stadt Flensburg;00272;Holunderweg;26;525676086.000,6067535423.000 ;525672624.000,6067532836.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525747186.000,6067549135.000 ;525749344.000,6067548482.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525733121.000,6067567692.000 ;525728694.000,6067574462.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525721382.000,6067595294.000 ;525721250.000,6067592588.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525715448.000,6067624482.000 ;525715083.000,6067621633.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525709640.000,6067654012.000 ;525710126.000,6067651941.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525704394.000,6067679804.000 ;525704561.000,6067677164.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525695456.000,6067709592.000 ;525696518.000,6067707411.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525677490.000,6067740817.000 ;525677861.000,6067738467.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525727809.000,6067715312.000 ;525730234.000,6067709846.000 
Stadt Flensburg;00456;Ochsenweg;;525845535.000,6067754425.000 ;525842288.000,6067751178.000 
Stadt Flensburg;00456;Ochsenweg;;525863722.000,6067726555.000 ;525858492.000,6067723831.000 
Stadt Flensburg;00456;Ochsenweg;;525881443.000,6067698733.000 ;525875713.000,6067697221.000 
Stadt Flensburg;00456;Ochsenweg;;525894866.000,6067677657.000 ;525888538.000,6067676593.000 
Stadt Flensburg;00267;Husumer Straﬂe;297;525896960.000,6067637355.000 ;525890426.000,6067639431.000 
Stadt Flensburg;00267;Husumer Straﬂe;;525872669.000,6067608782.000 ;525874000.000,6067608016.000 
Stadt Flensburg;00267;Husumer Straﬂe;;525854592.000,6067588443.000 ;525850949.000,6067585663.000 
Stadt Flensburg;00267;Husumer Straﬂe;;525832709.000,6067561801.000 ;525834631.000,6067560751.000 
Stadt Flensburg;00267;Husumer Straﬂe;;525809659.000,6067535713.000 ;525802726.000,6067539144.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525675804.000,6067649072.000 ;525667557.000,6067647958.000 
Stadt Flensburg;00264;Holzkrugweg;;525554337.000,6068023384.000 ;525545279.000,6068024338.000 
Stadt Flensburg;00264;Holzkrugweg;;525594633.000,6068097084.000 ;525595238.000,6068094628.000 
Stadt Flensburg;00264;Holzkrugweg;;525546134.000,6068063866.000 ;525539338.000,6068065927.000 
Stadt Flensburg;00264;Holzkrugweg;;525514451.000,6068054682.000 ;525509182.000,6068056231.000 
Stadt Flensburg;00264;Holzkrugweg;;525482766.000,6068045502.000 ;525475943.000,6068046136.000 
Stadt Flensburg;00264;Holzkrugweg;;525451172.000,6068036064.000 ;525446037.000,6068037552.000 
Stadt Flensburg;00456;Ochsenweg;;525593025.000,6068193176.000 ;525587496.000,6068190030.000 
Stadt Flensburg;00456;Ochsenweg;;525581279.000,6068220971.000 ;525577751.000,6068217690.000 
Stadt Flensburg;00456;Ochsenweg;;525569170.000,6068249138.000 ;525563466.000,6068249005.000 
Stadt Flensburg;00031;Amrumer Straﬂe;;525639042.000,6068200689.000 ;525640273.000,6068199719.000 
Stadt Flensburg;00456;Ochsenweg;;525604452.000,6068164885.000 ;525601934.000,6068161418.000 
Stadt Flensburg;00456;Ochsenweg;;525614546.000,6068138105.000 ;525611348.000,6068135043.000 
Stadt Flensburg;00456;Ochsenweg;;525624452.000,6068115215.000 ;525631086.000,6068111978.000 
Stadt Flensburg;00456;Ochsenweg;;525634185.000,6068092723.000 ;525632150.000,6068083270.000 
Stadt Flensburg;00456;Ochsenweg;;525659075.000,6068023344.000 ;525652150.000,6068021268.000 
Stadt Flensburg;00456;Ochsenweg;;525643853.000,6068051654.000 ;525636070.000,6068052458.000 
Stadt Flensburg;00456;Ochsenweg;;525657669.000,6068047174.000 ;525659614.000,6068046415.000 
Stadt Flensburg;00063;Bahnstraﬂe;;525876336.000,6068027017.000 ;525876952.000,6068024111.000 
Stadt Flensburg;00063;Bahnstraﬂe;;525905517.000,6068045157.000 ;525907926.000,6068044643.000 
Stadt Flensburg;00306;Ginsterweg;;524757893.000,6067624897.000 ;524757983.000,6067626069.000 
Stadt Flensburg;00306;Ginsterweg;;524783999.000,6067607312.000 ;524785228.000,6067607666.000 
Stadt Flensburg;00306;Ginsterweg;;524813190.000,6067599402.000 ;524808145.000,6067601830.000 
Stadt Flensburg;00306;Ginsterweg;;524837827.000,6067596877.000 ;524835481.000,6067598675.000 
Stadt Flensburg;00306;Ginsterweg;;524853528.000,6067599394.000 ;524846421.000,6067601376.000 
Stadt Flensburg;00306;Ginsterweg;;524885542.000,6067607240.000 ;524879050.000,6067609504.000 
Stadt Flensburg;00306;Ginsterweg;;524914673.000,6067614368.000 ;524911919.000,6067610470.000 
